GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Produto,com.bcopstein,FactoryValidacao,0,26,0,4,0,7,0,4,0,2
Produto,com.bcopstein,ServicoDeVendas,0,77,0,0,0,16,0,7,0,7
Produto,com.bcopstein,ValidacaoHorarioComercial,0,48,0,6,0,11,0,5,0,2
Produto,com.bcopstein,RegraImpostoComprasGrandes,0,65,0,4,0,10,0,5,0,3
Produto,com.bcopstein,RegraImpostoOriginal,0,16,0,0,0,3,0,3,0,3
Produto,com.bcopstein,SistVendasException,3,8,0,0,1,3,1,1,1,1
Produto,com.bcopstein,ItemEstoque,11,70,1,9,3,20,3,10,2,6
Produto,com.bcopstein,SistVendasException.Causa,0,84,0,0,0,9,0,1,0,1
Produto,com.bcopstein,ItemVenda,3,24,0,0,1,9,1,4,1,4
Produto,com.bcopstein,ValidacaoForaHorarioComercial,10,61,2,8,2,13,2,5,0,2
Produto,com.bcopstein,Produto,15,18,0,0,4,7,3,3,3,3
